group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
get_bench,kvs_2,,,,992600.0,ns,1027
get_bench,kvs_2,,,,1980000.0,ns,2054
get_bench,kvs_2,,,,2931100.0,ns,3081
get_bench,kvs_2,,,,3895500.0,ns,4108
get_bench,kvs_2,,,,4932500.0,ns,5135
get_bench,kvs_2,,,,5869400.0,ns,6162
get_bench,kvs_2,,,,6834700.0,ns,7189
get_bench,kvs_2,,,,7981900.0,ns,8216
get_bench,kvs_2,,,,8848900.0,ns,9243
get_bench,kvs_2,,,,9847200.0,ns,10270
get_bench,kvs_2,,,,10808700.0,ns,11297
get_bench,kvs_2,,,,11897100.0,ns,12324
get_bench,kvs_2,,,,12730600.0,ns,13351
get_bench,kvs_2,,,,13736300.0,ns,14378
get_bench,kvs_2,,,,14655300.0,ns,15405
get_bench,kvs_2,,,,15693700.0,ns,16432
get_bench,kvs_2,,,,16652600.0,ns,17459
get_bench,kvs_2,,,,17610300.0,ns,18486
get_bench,kvs_2,,,,18588000.0,ns,19513
get_bench,kvs_2,,,,20315400.0,ns,20540
get_bench,kvs_2,,,,20937000.0,ns,21567
get_bench,kvs_2,,,,21830800.0,ns,22594
get_bench,kvs_2,,,,22968700.0,ns,23621
get_bench,kvs_2,,,,23763500.0,ns,24648
get_bench,kvs_2,,,,25205500.0,ns,25675
get_bench,kvs_2,,,,25524600.0,ns,26702
get_bench,kvs_2,,,,26584500.0,ns,27729
get_bench,kvs_2,,,,27524300.0,ns,28756
get_bench,kvs_2,,,,28433100.0,ns,29783
get_bench,kvs_2,,,,29515500.0,ns,30810
get_bench,kvs_2,,,,30452900.0,ns,31837
get_bench,kvs_2,,,,31433500.0,ns,32864
get_bench,kvs_2,,,,32280800.0,ns,33891
get_bench,kvs_2,,,,33471100.0,ns,34918
get_bench,kvs_2,,,,34244200.0,ns,35945
get_bench,kvs_2,,,,35419400.0,ns,36972
get_bench,kvs_2,,,,36596500.0,ns,37999
get_bench,kvs_2,,,,37425000.0,ns,39026
get_bench,kvs_2,,,,38129300.0,ns,40053
get_bench,kvs_2,,,,39203300.0,ns,41080
get_bench,kvs_2,,,,40182900.0,ns,42107
get_bench,kvs_2,,,,41103100.0,ns,43134
get_bench,kvs_2,,,,42121400.0,ns,44161
get_bench,kvs_2,,,,43124900.0,ns,45188
get_bench,kvs_2,,,,44071800.0,ns,46215
get_bench,kvs_2,,,,45067600.0,ns,47242
get_bench,kvs_2,,,,46036400.0,ns,48269
get_bench,kvs_2,,,,47078800.0,ns,49296
get_bench,kvs_2,,,,48504800.0,ns,50323
get_bench,kvs_2,,,,49162800.0,ns,51350
get_bench,kvs_2,,,,49893200.0,ns,52377
get_bench,kvs_2,,,,52075900.0,ns,53404
get_bench,kvs_2,,,,52004000.0,ns,54431
get_bench,kvs_2,,,,53448800.0,ns,55458
get_bench,kvs_2,,,,53892200.0,ns,56485
get_bench,kvs_2,,,,55774700.0,ns,57512
get_bench,kvs_2,,,,56701000.0,ns,58539
get_bench,kvs_2,,,,57375300.0,ns,59566
get_bench,kvs_2,,,,58328100.0,ns,60593
get_bench,kvs_2,,,,59481400.0,ns,61620
get_bench,kvs_2,,,,60259100.0,ns,62647
get_bench,kvs_2,,,,61518400.0,ns,63674
get_bench,kvs_2,,,,62436100.0,ns,64701
get_bench,kvs_2,,,,63398800.0,ns,65728
get_bench,kvs_2,,,,64587600.0,ns,66755
get_bench,kvs_2,,,,65303800.0,ns,67782
get_bench,kvs_2,,,,66400800.0,ns,68809
get_bench,kvs_2,,,,67309600.0,ns,69836
get_bench,kvs_2,,,,69107100.0,ns,70863
get_bench,kvs_2,,,,69658100.0,ns,71890
get_bench,kvs_2,,,,70227100.0,ns,72917
get_bench,kvs_2,,,,73647000.0,ns,73944
get_bench,kvs_2,,,,72765300.0,ns,74971
get_bench,kvs_2,,,,72931900.0,ns,75998
get_bench,kvs_2,,,,73372500.0,ns,77025
get_bench,kvs_2,,,,74448300.0,ns,78052
get_bench,kvs_2,,,,76276400.0,ns,79079
get_bench,kvs_2,,,,76468800.0,ns,80106
get_bench,kvs_2,,,,77301000.0,ns,81133
get_bench,kvs_2,,,,78431500.0,ns,82160
get_bench,kvs_2,,,,79402000.0,ns,83187
get_bench,kvs_2,,,,80178500.0,ns,84214
get_bench,kvs_2,,,,84310900.0,ns,85241
get_bench,kvs_2,,,,82758700.0,ns,86268
get_bench,kvs_2,,,,83448300.0,ns,87295
get_bench,kvs_2,,,,84252000.0,ns,88322
get_bench,kvs_2,,,,86356500.0,ns,89349
get_bench,kvs_2,,,,87068100.0,ns,90376
get_bench,kvs_2,,,,88982700.0,ns,91403
get_bench,kvs_2,,,,88140000.0,ns,92430
get_bench,kvs_2,,,,89196600.0,ns,93457
get_bench,kvs_2,,,,90720300.0,ns,94484
get_bench,kvs_2,,,,91483400.0,ns,95511
get_bench,kvs_2,,,,92676700.0,ns,96538
get_bench,kvs_2,,,,95887100.0,ns,97565
get_bench,kvs_2,,,,94907200.0,ns,98592
get_bench,kvs_2,,,,98738600.0,ns,99619
get_bench,kvs_2,,,,96548500.0,ns,100646
get_bench,kvs_2,,,,97063100.0,ns,101673
get_bench,kvs_2,,,,98178900.0,ns,102700
