group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
get_bench,kvs_8,,,,985200.0,ns,874
get_bench,kvs_8,,,,1983200.0,ns,1748
get_bench,kvs_8,,,,2983900.0,ns,2622
get_bench,kvs_8,,,,4019900.0,ns,3496
get_bench,kvs_8,,,,4931200.0,ns,4370
get_bench,kvs_8,,,,5960400.0,ns,5244
get_bench,kvs_8,,,,6949600.0,ns,6118
get_bench,kvs_8,,,,7924800.0,ns,6992
get_bench,kvs_8,,,,9836500.0,ns,7866
get_bench,kvs_8,,,,9817500.0,ns,8740
get_bench,kvs_8,,,,10771100.0,ns,9614
get_bench,kvs_8,,,,11720700.0,ns,10488
get_bench,kvs_8,,,,12676600.0,ns,11362
get_bench,kvs_8,,,,13815600.0,ns,12236
get_bench,kvs_8,,,,14817000.0,ns,13110
get_bench,kvs_8,,,,15860700.0,ns,13984
get_bench,kvs_8,,,,16689200.0,ns,14858
get_bench,kvs_8,,,,17635100.0,ns,15732
get_bench,kvs_8,,,,18554400.0,ns,16606
get_bench,kvs_8,,,,20054000.0,ns,17480
get_bench,kvs_8,,,,20805500.0,ns,18354
get_bench,kvs_8,,,,21728800.0,ns,19228
get_bench,kvs_8,,,,22742800.0,ns,20102
get_bench,kvs_8,,,,23679700.0,ns,20976
get_bench,kvs_8,,,,24780600.0,ns,21850
get_bench,kvs_8,,,,25719000.0,ns,22724
get_bench,kvs_8,,,,26772000.0,ns,23598
get_bench,kvs_8,,,,27665900.0,ns,24472
get_bench,kvs_8,,,,28667000.0,ns,25346
get_bench,kvs_8,,,,29844400.0,ns,26220
get_bench,kvs_8,,,,30929400.0,ns,27094
get_bench,kvs_8,,,,31664100.0,ns,27968
get_bench,kvs_8,,,,32605800.0,ns,28842
get_bench,kvs_8,,,,33593800.0,ns,29716
get_bench,kvs_8,,,,34643700.0,ns,30590
get_bench,kvs_8,,,,35519300.0,ns,31464
get_bench,kvs_8,,,,36694200.0,ns,32338
get_bench,kvs_8,,,,37524900.0,ns,33212
get_bench,kvs_8,,,,39595100.0,ns,34086
get_bench,kvs_8,,,,39096200.0,ns,34960
get_bench,kvs_8,,,,40096900.0,ns,35834
get_bench,kvs_8,,,,41093900.0,ns,36708
get_bench,kvs_8,,,,41958600.0,ns,37582
get_bench,kvs_8,,,,43889100.0,ns,38456
get_bench,kvs_8,,,,44117200.0,ns,39330
get_bench,kvs_8,,,,44966900.0,ns,40204
get_bench,kvs_8,,,,46324200.0,ns,41078
get_bench,kvs_8,,,,47052800.0,ns,41952
get_bench,kvs_8,,,,47955200.0,ns,42826
get_bench,kvs_8,,,,50070100.0,ns,43700
get_bench,kvs_8,,,,50219100.0,ns,44574
get_bench,kvs_8,,,,50844700.0,ns,45448
get_bench,kvs_8,,,,52936500.0,ns,46322
get_bench,kvs_8,,,,53446800.0,ns,47196
get_bench,kvs_8,,,,54490200.0,ns,48070
get_bench,kvs_8,,,,55333900.0,ns,48944
get_bench,kvs_8,,,,56117100.0,ns,49818
get_bench,kvs_8,,,,57156900.0,ns,50692
get_bench,kvs_8,,,,58853100.0,ns,51566
get_bench,kvs_8,,,,58676400.0,ns,52440
get_bench,kvs_8,,,,59959900.0,ns,53314
get_bench,kvs_8,,,,60587100.0,ns,54188
get_bench,kvs_8,,,,61657700.0,ns,55062
get_bench,kvs_8,,,,62956000.0,ns,55936
get_bench,kvs_8,,,,63572700.0,ns,56810
get_bench,kvs_8,,,,64443500.0,ns,57684
get_bench,kvs_8,,,,65405800.0,ns,58558
get_bench,kvs_8,,,,67070900.0,ns,59432
get_bench,kvs_8,,,,67591200.0,ns,60306
get_bench,kvs_8,,,,68463600.0,ns,61180
get_bench,kvs_8,,,,70741200.0,ns,62054
get_bench,kvs_8,,,,70878000.0,ns,62928
get_bench,kvs_8,,,,71879700.0,ns,63802
get_bench,kvs_8,,,,72754200.0,ns,64676
get_bench,kvs_8,,,,74060700.0,ns,65550
get_bench,kvs_8,,,,74989200.0,ns,66424
get_bench,kvs_8,,,,77372100.0,ns,67298
get_bench,kvs_8,,,,76501300.0,ns,68172
get_bench,kvs_8,,,,77326200.0,ns,69046
get_bench,kvs_8,,,,78161600.0,ns,69920
get_bench,kvs_8,,,,80363200.0,ns,70794
get_bench,kvs_8,,,,80747400.0,ns,71668
get_bench,kvs_8,,,,81189000.0,ns,72542
get_bench,kvs_8,,,,82599300.0,ns,73416
get_bench,kvs_8,,,,84493200.0,ns,74290
get_bench,kvs_8,,,,83980000.0,ns,75164
get_bench,kvs_8,,,,86061100.0,ns,76038
get_bench,kvs_8,,,,86471700.0,ns,76912
get_bench,kvs_8,,,,87327400.0,ns,77786
get_bench,kvs_8,,,,88511700.0,ns,78660
get_bench,kvs_8,,,,89945200.0,ns,79534
get_bench,kvs_8,,,,90891500.0,ns,80408
get_bench,kvs_8,,,,92163400.0,ns,81282
get_bench,kvs_8,,,,93293200.0,ns,82156
get_bench,kvs_8,,,,92798400.0,ns,83030
get_bench,kvs_8,,,,94537400.0,ns,83904
get_bench,kvs_8,,,,96517900.0,ns,84778
get_bench,kvs_8,,,,96839400.0,ns,85652
get_bench,kvs_8,,,,97673800.0,ns,86526
get_bench,kvs_8,,,,98947900.0,ns,87400
